,pw,x1,x2,x3
0,1,"""2014_Magnolia""","""1883_Magnolia_acuminata""",""">"""
1,1,"""2014_Magnolia""","""1883_Magnolia_Clade1""",""">"""
2,1,"""2014_Magnolia""","""1883_Magnolia_cordata""",""">"""
3,1,"""2014_Magnolia""","""1883_Magnolia_grandiflora""",""">"""
4,1,"""2014_Magnolia""","""1883_Magnolia_umbrella""",""">"""
5,1,"""2014_Magnolia""","""1883_Magnolia_glauca""",""">"""
6,1,"""2014_Magnolia""","""1883_Magnolia_Clade2""",""">"""
7,1,"""2014_Magnolia""","""1883_Magnolia_macrophylla""",""">"""
8,1,"""2014_Magnolia""","""1883_Magnolia_fraseri""",""">"""
9,1,"""2014_Magnolia_Clade1""","""1883_Magnolia_acuminata""",""">"""
10,1,"""2014_Magnolia_Clade1""","""1883_Magnolia_cordata""",""">"""
11,1,"""2014_Magnolia_Clade1""","""1883_Magnolia_glauca""",""">"""
12,1,"""2014_Magnolia_Clade2""","""1883_Magnolia_grandiflora""",""">"""
13,1,"""2014_Magnolia_Clade2""","""1883_Magnolia_umbrella""",""">"""
14,1,"""2014_Magnolia_Clade2""","""1883_Magnolia_macrophylla""",""">"""
15,1,"""2014_Magnolia_Clade2""","""1883_Magnolia_fraseri""",""">"""
16,1,"""2014_Magnolia""","""1883_Magnolia""","""="""
17,1,"""2014_Magnolia_acuminata_var_acuminata""","""1883_Magnolia_acuminata""","""="""
18,1,"""2014_Magnolia_acuminata_var_subcordata""","""1883_Magnolia_cordata""","""="""
19,1,"""2014_Magnolia_grandiflora""","""1883_Magnolia_grandiflora""","""="""
20,1,"""2014_Magnolia_tripetala""","""1883_Magnolia_umbrella""","""="""
21,1,"""2014_Magnolia_Clade1""","""1883_Magnolia""","""<"""
22,1,"""2014_Magnolia_Clade2""","""1883_Magnolia""","""<"""
23,1,"""2014_Magnolia_acuminata_var_acuminata""","""1883_Magnolia""","""<"""
24,1,"""2014_Magnolia_acuminata_var_acuminata""","""1883_Magnolia_Clade1""","""<"""
25,1,"""2014_Magnolia_acuminata_var_subcordata""","""1883_Magnolia""","""<"""
