coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
7924749,"Jones, Samuel B.",,1959,,"Andropogon glomeratus",0,"(Walt.) B.S.P.",,,,,,,urn:uuid:4895dfb9-38e1-495c-bc21-62fdcbf2aff3,"2016-05-30 14:40:10"
7924749,"De Selm, H. R.",,1974,,"Andropogon virginicus var. tenuispatheus",0,,,,,,,,urn:uuid:769bf7b9-6162-4f2d-860b-61ec91f33572,"2016-05-30 14:39:41"
7924749,"Campbell, C. S.",,1980-06-00,,"Andropogon glomeratus var. pumilus",0,"Vasey ex L.H. Dewey",,,,,,"the robust variant, ""A Revision of the Andropogon virginicus complex""",urn:uuid:4fea0426-8f9f-4e12-9da7-09460931c7bb,"2016-05-30 14:39:11"
7924752,"Gregory, J. M.",,1969,,"Andropogon glomeratus",0,"(Walt.) B.S.P.",,,,,,,urn:uuid:5ff56a3d-6350-4b71-ad70-ef3e47b3e222,"2016-05-26 17:31:50"
7924754,"Lelong, Michel G.",,1967,,"Andropogon glomeratus",0,"(Walt.) B.S.P.",,,,,,,urn:uuid:8961d3e9-091e-462a-8a70-f8f0e487a300,"2016-05-30 14:55:22"
7924754,"Campbell, C. S.",,1980-06-00,,"Andropogon glomeratus var. pumilus",0,"Vasey ex L.H. Dewey",,,,,,"the robust variant, ""A Revision of the Andropogon virginicus complex""",urn:uuid:3c221db1-404e-4e04-b02b-1e9764fe4f7b,"2016-05-30 14:51:21"
7924757,"Deramus, Rebecca",,1965,,"Andropogon virginicus",0,Trin.,,,,,,,urn:uuid:f649d2c6-ae82-4ced-bc24-506d14a9b51e,"2016-05-30 14:47:10"
7924757,"Campbell, C. S.",,1980-06-00,,"Andropogon glomeratus var. pumilus",0,"Vasey ex L.H. Dewey",,,,,,"the robust variant, ""A Revision of the Andropogon virginicus complex""",urn:uuid:63d21e46-3c19-46fa-ac14-9cab72654226,"2016-05-30 14:43:20"
7924762,"Jones, Jr., Samuel B.",,1963,,"Andropogon elliottii",0,Chapm.,,,,,,,urn:uuid:f25d9caa-b09f-4b5a-9b5e-0f2fd614150f,"2016-05-30 18:58:23"
7924762,"Ahles, Harry E.",,1964,,"Andropogon glomeratus",0,"(Walt.) B.S.P.",,,,,,,urn:uuid:022abd19-1c35-485f-a7ba-5849a606cbc6,"2016-05-30 18:58:53"
7924762,"De Selm, H. R.",,1974,,"Andropogon virginicus var. hirsutior",0,"(Hack.) Hitchc.",,,,,,,urn:uuid:d9033cae-95e8-419e-aaca-d84996d1247a,"2016-05-30 18:59:23"
7924762,"Campbell, C. S.",,1980-06-00,,"Andropogon glomeratus var. pumilus",0,"Vasey ex L.H. Dewey",,,,,,"the robust variant, ""A Revision of the Andropogon virginicus complex""",urn:uuid:922b5ddc-25d2-402d-87f2-462a5ff03956,"2016-05-30 18:59:51"
7924768,"Decker, H. F.",,1964,,"Andropogon glomeratus",0,"(Walt.) B.S.P.",,,,,,,urn:uuid:9846498b-a7c9-4ed1-8b16-d8fb0773832b,"2016-05-30 15:06:00"
7924768,"De Selm, H. R.",,1974,,"Andropogon virginicus var. tenuispatheus",0,,,,,,,,urn:uuid:3702614f-cbc7-4b46-a894-8c9d4f61e55a,"2016-05-30 15:06:51"
7924768,"Campbell, C. S.",,1980-06-00,,"Andropogon glomeratus var. pumilus",0,"Vasey ex L.H. Dewey",,,,,,"the robust variant, ""A Revision of the Andropogon virginicus complex""",urn:uuid:2829abc9-4704-4970-8d66-6139aad5183e,"2016-05-30 15:07:56"
7924771,"Lakela, O.",,1961,,"Andropogon brachystachyus",0,Chapm.,,,,,,,urn:uuid:8b2a5ed4-225c-46e7-86fb-337d3a1fa364,"2016-05-30 14:57:34"
7924771,"De Selm, H. R.",,1975-07-00,,"Andropogon floridanus",0,Scribn.,,,,,,"verbatim date: VII 1975",urn:uuid:e0dc0f2e-91e7-41e0-87ec-23cf335d4cbb,"2016-05-30 14:58:16"
7924771,"Campbell, C. S.",,1980-06-00,,"Andropogon glomeratus var. pumilus",0,"Vasey ex L.H. Dewey",,,,,,"the robust variant, ""A Revision of the Andropogon virginicus complex""",urn:uuid:c2574307-18ae-4e96-b026-b65f7efb3d6e,"2016-05-30 14:58:45"
7924772,"Radford, A. E.",,1969,,"Andropogon virginicus",0,Trin.,,,,,,,urn:uuid:d52b1ca8-2f7f-48e8-b854-63bca1b944d0,"2016-05-30 15:03:50"
7924772,"Campbell, C. S.",,1980-06-00,,"Andropogon glomeratus var. pumilus",0,"Vasey ex L.H. Dewey",,,,,,"the robust variant, ""A Revision of the Andropogon virginicus complex""",urn:uuid:a18efa6c-dfcb-4e21-8d79-06bcd802ec5a,"2016-05-30 15:04:22"
