coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
7924749,https://bisque.cyverse.org/image_service/image/00-edWQdAYzJ8jzhTwkPcmNbA?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-edWQdAYzJ8jzhTwkPcmNbA?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-edWQdAYzJ8jzhTwkPcmNbA?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-edWQdAYzJ8jzhTwkPcmNbA?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:c0f348f5-5369-469e-9151-63b8529ff33a,"2015-12-31 12:59:43",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7924749,StillImage,Photograph,en
7924752,https://bisque.cyverse.org/image_service/image/00-sJJ4WVC7zAryTei9rBPe8R?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-sJJ4WVC7zAryTei9rBPe8R?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-sJJ4WVC7zAryTei9rBPe8R?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-sJJ4WVC7zAryTei9rBPe8R?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:8cac19c5-956b-48d7-baf4-50c8919794a6,"2015-12-31 12:59:43",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7924752,StillImage,Photograph,en
7924754,https://bisque.cyverse.org/image_service/image/00-2MwRMt2R8XioYfTtvCzqgR?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-2MwRMt2R8XioYfTtvCzqgR?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-2MwRMt2R8XioYfTtvCzqgR?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-2MwRMt2R8XioYfTtvCzqgR?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:8c6e9232-0a5a-4946-b77e-60a26f846a64,"2015-12-31 12:59:43",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7924754,StillImage,Photograph,en
7924757,https://bisque.cyverse.org/image_service/image/00-qsKBhBwapdisAXHRULrNpc?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-qsKBhBwapdisAXHRULrNpc?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-qsKBhBwapdisAXHRULrNpc?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-qsKBhBwapdisAXHRULrNpc?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:23623e39-1af8-4f8f-8438-391d3b8e7cb9,"2015-12-31 12:59:43",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7924757,StillImage,Photograph,en
7924762,https://bisque.cyverse.org/image_service/image/00-4aGCFzxUdTYbWPuUH48JYW?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-4aGCFzxUdTYbWPuUH48JYW?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-4aGCFzxUdTYbWPuUH48JYW?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-4aGCFzxUdTYbWPuUH48JYW?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:f87101dd-47c8-4dbf-ad7e-1069fc1ed03b,"2015-12-31 12:59:43",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7924762,StillImage,Photograph,en
7924768,https://bisque.cyverse.org/image_service/image/00-yNq8TGGaM4PNhtJzbz88GY?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-yNq8TGGaM4PNhtJzbz88GY?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-yNq8TGGaM4PNhtJzbz88GY?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-yNq8TGGaM4PNhtJzbz88GY?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:d4f7a69f-48a2-4f16-b9b7-845a4d6ac9a5,"2015-12-31 12:59:43",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7924768,StillImage,Photograph,en
7924771,https://bisque.cyverse.org/image_service/image/00-PFV8iHd4iqFBVTAjbzAGN4?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-PFV8iHd4iqFBVTAjbzAGN4?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-PFV8iHd4iqFBVTAjbzAGN4?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-PFV8iHd4iqFBVTAjbzAGN4?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:82fc03ac-8355-46a3-b59c-39202807b0f5,"2015-12-31 12:59:43",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7924771,StillImage,Photograph,en
7924772,https://bisque.cyverse.org/image_service/image/00-728mMzVkvWFxJHbyaCttoi?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-728mMzVkvWFxJHbyaCttoi?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-728mMzVkvWFxJHbyaCttoi?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-728mMzVkvWFxJHbyaCttoi?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:76730e79-547a-4d81-abd0-34ce3cc77ea1,"2015-12-31 12:59:43",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7924772,StillImage,Photograph,en
7924776,https://bisque.cyverse.org/image_service/image/00-kXYVeubU9yXjNpYybvjYPd?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-kXYVeubU9yXjNpYybvjYPd?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-kXYVeubU9yXjNpYybvjYPd?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-kXYVeubU9yXjNpYybvjYPd?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:af8c22c5-c014-4038-bde0-d5648b07f78a,"2015-12-31 12:59:43",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7924776,StillImage,Photograph,en
7924778,https://bisque.cyverse.org/image_service/image/00-8YoTkBJuYb4q8Bj56ozdL3?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-8YoTkBJuYb4q8Bj56ozdL3?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-8YoTkBJuYb4q8Bj56ozdL3?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-8YoTkBJuYb4q8Bj56ozdL3?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:2e736f50-5b91-4f4c-b80a-69e7800b1e9a,"2015-12-31 12:59:43",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7924778,StillImage,Photograph,en
7924781,https://bisque.cyverse.org/image_service/image/00-Zx4fGRL5pUubxV4Q3o3er4?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-Zx4fGRL5pUubxV4Q3o3er4?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-Zx4fGRL5pUubxV4Q3o3er4?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-Zx4fGRL5pUubxV4Q3o3er4?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:b50ec173-c93e-4dca-aa79-9f5e7a18e0bf,"2015-12-31 12:59:43",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7924781,StillImage,Photograph,en
7924783,https://bisque.cyverse.org/image_service/image/00-uCc7YNqzCLcAQrCYnaREkP?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-uCc7YNqzCLcAQrCYnaREkP?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-uCc7YNqzCLcAQrCYnaREkP?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-uCc7YNqzCLcAQrCYnaREkP?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:2454f8ea-f999-48d5-b14e-4ccfc782b7e3,"2015-12-31 12:59:43",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7924783,StillImage,Photograph,en
