coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
7970306,"Freshwater, D. Wilson",,1990,,"Magnolia tripetala",0,"(L.) L.",,,,,"""Weighted Averages of Vegetation Data as a means of Delineating Wetlands"" Wilson Freshwater, 1990",,urn:uuid:6c932cfd-09a7-4207-aab7-e83235a4dde4,"2015-11-30 10:52:01"
7970306,"Tobe, John David",,1992-11-00,,"Magnolia grandiflora",1,L.,,,,,,"section Theorhodon Spach; Clemson University (CLEMS)",urn:uuid:d301700e-98d4-4061-aa1f-22709de58989,"2015-11-30 10:52:01"
16718341,"Weatherby, C.",,1926-00-00,,"Magnolia ashei",0,Weath.,,,,,,Type,urn:uuid:0cf32480-35e7-4419-902c-86260762fd98,"2017-11-10 10:20:48"
16718341,"Meyer, Frederick G.",,1990-00-00,,"Magnolia ashei",0,Weath.,,,,,,,urn:uuid:697c88dc-028b-470c-87b3-7af18f6173d5,"2017-11-10 10:24:59"
16718341,"Ashe, W. W.",,s.d.,,Magnolia,0,,,,,,,,urn:uuid:2e1f7627-8026-4f7a-9c77-362376ec475d,"2017-11-10 10:19:27"
16718373,"Ashe, W. W.",,1925-00-00,,Magnolia,0,,,,,,,,urn:uuid:a816e9a1-5ddd-4d98-8c3c-bde595150c7f,"2017-11-10 10:35:48"
16718373,"Weatherby, C.",,1926-00-00,,"Magnolia ashei",0,Weath.,,,,,,Type,urn:uuid:8ac38827-61cf-4a00-a9ed-69339817242f,"2017-11-10 10:36:59"
16718373,"Meyer, Frederick G.",,1990-00-00,,"Magnolia ashei",0,Weath.,,,,,,,urn:uuid:e6587f37-b5d7-47aa-b9bc-a9db92f19c69,"2017-11-10 10:37:37"
16718375,"Weatherby, C.",,1926-00-00,,"Magnolia ashei",0,Weath.,,,,,,,urn:uuid:2ef910e1-fd0f-45f3-a398-ef5a5cbac808,"2017-11-10 10:43:31"
16718375,"Meyer, Frederick G.",,1990-00-00,,"magnolia ashei",0,Weath.,,,,,,,urn:uuid:3f86a0f1-b5b4-48b0-8123-dbe4c56df2cd,"2017-11-10 10:47:18"
16718375,"Tobe, John David",,1992-11-00,,"Magnolia macrophylla subsp. ashei",0,"(Weath.) Spongberg",,,,,,"section Rhytidospermum Spach series: Macrophyllae Dandy SYNTYPE",urn:uuid:9c95cf34-73ca-424b-aba3-e7760e202f58,"2017-11-10 10:48:06"
16718375,"Ashe, W. W.",,s.d.,,Magnolia,0,,,,,,,,urn:uuid:73722f4a-f12a-4834-830b-165e1d943a5e,"2017-11-10 10:41:47"
7962280,"Hutchins, James",,1948,,"Magnolia fraseri",0,Walter,,,,,,,urn:uuid:032f2d70-da6c-4013-9918-1a81b122c5cf,"2016-01-01 10:12:24"
7962280,"Meyer, Frederick G.",,1990,,"Magnolia fraseri",0,Walter,,,,,,,urn:uuid:eaf00057-c1bf-4c52-a137-1c49b2c0f5c3,"2016-01-01 10:11:46"
7962282,"Hutchins, James",,1948,,"Magnolia fraseri",0,Walter,,,,,,,urn:uuid:c2d66c25-af26-4eda-a2e0-5175ff7b8a8f,"2016-01-01 10:15:28"
7962282,"Meyer, Frederick G.",,1990,,"Magnolia fraseri",0,Walter,,,,,,,urn:uuid:3a320bb1-87bf-40b2-b8d0-31bcb135f51c,"2016-01-01 10:15:02"
7962283,"Totten, H. R.",,1950,,"Magnolia fraseri",0,Walter,,,,,,,urn:uuid:ddc04552-4f04-41bd-9be4-fd970fc6f7a7,"2016-01-01 10:18:03"
7962283,"Meyer, Frederick G.",,1990,,"Magnolia fraseri",0,Walter,,,,,,,urn:uuid:7679ce19-5199-42c6-992f-6fa90dc9e172,"2016-01-01 10:18:35"
7962286,"Utech, F. H.; Thomas, W. W.; Thompson, S. A.; M. Ohara",,1982,,"Magnolia fraseri",0,Walter,,,,,,,urn:uuid:bec8688f-16b4-4604-a651-584d81024cfb,"2016-01-01 11:25:45"
