scientificName,country,stateProvince,county,decimalLongitude,decimalLatitude
Magnolia grandiflora,United States,North Carolina,Brunswick,-78.24411267,34.07473261
Magnolia grandiflora,United States,North Carolina,Brunswick,-78.24411267,34.07473261
Magnolia grandiflora,United States,North Carolina,Brunswick,-78.24411267,34.07473261
Magnolia grandiflora,United States,North Carolina,Brunswick,-78.24411267,34.07473261
Magnolia grandiflora,United States,North Carolina,Brunswick,-78.24411267,34.07473261
Magnolia grandiflora,United States,North Carolina,Beaufort,-76.86307654,35.49474455
Magnolia tripetala,United States,North Carolina,Beaufort,-76.86307654,35.49474455
Magnolia grandiflora,United States,North Carolina,Alamance,-79.39946026,36.04402745
Magnolia tripetala,United States,North Carolina,Alamance,-79.39946026,36.04402745
Magnolia tripetala,United States,North Carolina,Alamance,-79.39946026,36.04402745
Magnolia grandiflora,United States,North Carolina,Cumberland,-78.82732594,35.04854049
Magnolia grandiflora,United States,North Carolina,Cumberland,-78.82732594,35.04854049
Magnolia tripetala,United States,North Carolina,Cumberland,-78.82732594,35.04854049
Magnolia tripetala,United States,North Carolina,Cumberland,-78.82732594,35.04854049
Magnolia grandiflora,United States,North Carolina,Currituck,-75.9184455,36.2197187
Magnolia tripetala,United States,North Carolina,Currituck,-75.9184455,36.2197187
Magnolia grandiflora,United States,North Carolina,Chatham,-79.25530392,35.70275475
Magnolia tripetala,United States,North Carolina,Chatham,-79.25530392,35.70275475
Magnolia tripetala,United States,North Carolina,Chatham,-79.25530392,35.70275475
Magnolia grandiflora,United States,North Carolina,Davidson,-80.21274137,35.79316478
Magnolia tripetala,United States,North Carolina,Davidson,-80.21274137,35.79316478
Magnolia tripetala,United States,North Carolina,Davidson,-80.21274137,35.79316478
Magnolia tripetala,United States,North Carolina,Davidson,-80.21274137,35.79316478
Magnolia grandiflora,United States,North Carolina,Durham,-78.87642245,36.0359323
Magnolia tripetala,United States,North Carolina,Durham,-78.87642245,36.0359323
Magnolia tripetala,United States,North Carolina,Durham,-78.87642245,36.0359323
Magnolia grandiflora,United States,North Carolina,Nash,-77.98645268,35.96723777
Magnolia grandiflora,United States,North Carolina,Moore,-79.48133651,35.31069142
Magnolia grandiflora,United States,North Carolina,Harnett,-78.86928141,35.36869989
Magnolia tripetala,United States,North Carolina,Harnett,-78.86928141,35.36869989
Magnolia grandiflora,United States,North Carolina,Jones,-77.35553972,35.02215079
Magnolia tripetala,United States,North Carolina,Jones,-77.35553972,35.02215079
Magnolia tripetala,United States,North Carolina,Jones,-77.35553972,35.02215079
Magnolia tripetala,United States,North Carolina,Jones,-77.35553972,35.02215079
Magnolia grandiflora,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia grandiflora,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia grandiflora,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia grandiflora,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia grandiflora,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia grandiflora,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia grandiflora,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia grandiflora,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia grandiflora,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia grandiflora,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia grandiflora,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia grandiflora,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia grandiflora,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia grandiflora,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia ashei,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia fraseri,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia fraseri,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia macrophylla,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia macrophylla,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia macrophylla,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia macrophylla,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia macrophylla,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia macrophylla,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia macrophylla,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia tripetala,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia tripetala,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia tripetala,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia tripetala,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia tripetala,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia tripetala,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia tripetala,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia tripetala,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia tripetala,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia tripetala,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia tripetala,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia tripetala,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia tripetala,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia tripetala,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia tripetala,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia tripetala,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia tripetala,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia tripetala,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia tripetala,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia tripetala,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia acuminata var. subcordata,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia acuminata var. subcordata,United States,North Carolina,Orange,-79.12054743,36.06144985
Magnolia grandiflora,United States,North Carolina,Wake,-78.65037452,35.79008959
Magnolia macrophylla,United States,North Carolina,Wake,-78.65037452,35.79008959
Magnolia tripetala,United States,North Carolina,Wake,-78.65037452,35.79008959
Magnolia tripetala,United States,North Carolina,Wake,-78.65037452,35.79008959
Magnolia tripetala,United States,North Carolina,Wake,-78.65037452,35.79008959
