coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
3276683,"Les Landrum",,2012,,"Physalis crassifolia",1,Benth.,,,,,,,urn:uuid:c62a6f5b-bb51-46e5-92f3-9a1866f94eba,"2015-07-20 16:07:44"
3276683,unknown,,unknown,,"Physalis crassifolia var. versicolor",0,"(Rydb.) Waterfall",,,,,,,urn:uuid:c44d0904-b7fc-4321-bb52-c5d48e4b4674,"2015-07-20 16:07:44"
3276760,"B. Sivinski",,"1 Sept 2011",,"Physalis hederaefolia",0,Holz.,,,,,,,urn:uuid:ed094d8f-9df1-4fd9-99dd-45c726999cab,"2011-09-02 11:54:41"
3276760,unknown,,unknown,,"Physalis virginiana var. sonorae",0,"(Torr.) Waterfall",,,,,,,urn:uuid:59e1f413-a2ac-4717-ab43-b665a2e9dc86,"2011-09-02 11:54:41"
3276628,"Liz Makings",,"2009-06-10 00:00:00",,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:412f544d-ed7f-4dfb-9009-0135f019ba72,"2011-04-14 22:42:33"
5567737,"C.H. Lowe",,1952-02-23,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:fe5e875c-fd9a-4a46-b0fb-bf5efc5f4892,"2014-12-23 15:15:32"
5567765,"C.T. Mason, Jr.",,1965-01-26,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:dbaab49a-7a08-48a6-9e9d-efaa658f672b,"2014-12-23 15:15:32"
5567736,"P.S. Martin",,1973-09-02,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:b15a9989-43dd-41f8-8ca9-05a5daaa4ffb,"2014-12-23 15:15:32"
5567735,"E. Lehto",,1976-05-19,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:753cad9b-deae-419d-8cae-59f69b5e27a6,"2014-12-23 15:15:32"
5567734,"M. Mittleman",,1982-07-28,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:fff47222-4965-4991-b893-d9fe8294114d,"2014-12-23 15:15:32"
5567774,"T. R. Van Devender",,1983-03-05,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:5854ddc0-e94a-4dc8-9704-a88d20127d17,"2014-12-23 15:15:32"
5567764,"P.C. Fischer",,1979-03-25,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:85b3fa5d-7ea2-4dcb-bea8-4ceedb6bf78a,"2014-12-23 15:15:32"
5567742,"F.B. McMurry",,1945-02-14,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:db491dd4-2e87-4cf5-ad5c-a6a0525350d3,"2014-12-23 15:15:32"
5567760,"Elinor Lehto",,1968,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:dda6a6e9-e6c2-4c33-af9f-92d65850c6bc,"2018-03-05 17:40:21"
5567760,Pinkava,,1968-03-23,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:a18b80cb-26cf-4067-bf22-988133cfd09b,"2014-12-23 15:15:32"
5567763,"J.E. Bowers",,1983-10-20,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:ae7c4957-e05c-446f-9697-ec9b8cc4b1a1,"2014-12-23 15:15:32"
5567762,"J.E. Bowers",,1979-05-09,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:43c1c4b6-071a-4047-92b7-4d10614a1f14,"2014-12-23 15:15:32"
5567738,"T. R. Van Devender",,1972-12-01,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:1283d891-1c29-497d-b0d9-94c3b94f16f2,"2014-12-23 15:15:32"
5567761,"J.E. Bowers",,1983-09-13,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:8a201ab4-6f10-48a0-a9ca-077046fe2025,"2014-12-23 15:15:32"
5567740,"W.S. Phillips",,1959-04-02,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:94f0444e-0357-462e-b269-feb0ee24327a,"2014-12-23 15:15:32"
5567740,"Janet R. Sullivan",,"Oct 1995",,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:32073b97-16be-43ed-864e-2d3bd13bd641,"2017-04-06 14:47:48"
5567759,"T. R. Van Devender",,1972-12-01,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:36c2b0f8-e70e-4ced-a071-a7672e7148c0,"2014-12-23 15:15:32"
5567741,"L.N. Goodding",,1945-10-19,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:45e52edc-bf0d-4732-83b2-aaccbf8c5635,"2014-12-23 15:15:32"
5567739,"L.N. Goodding",,1936-03-26,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:40872bde-d46c-46ec-8260-8300abe99d9b,"2014-12-23 15:15:32"
5567766,"R. S. Felger",,1992-08-18,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:d209259f-2cb7-424d-8d9a-e39b265c4bd3,"2014-12-23 15:15:32"
5567767,"Janet R. Sullivan",,10/95,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:b9c40584-d898-4b19-87c3-39b94b5e86b2,"2018-03-05 17:40:21"
5567767,"R.H. Hevly",,1959-11-15,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:f6b4a800-a201-44cf-b65f-41d4cc980cd2,"2014-12-23 15:15:32"
5567776,"A.A. Nichol",,1937-04-19,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:91539f9f-8449-4f3e-a49d-6305798c9d12,"2014-12-23 15:15:32"
5567777,"R.J. Barr",,1964-03-24,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:23143979-2ac9-4fd5-bf71-427c3eaf7cfc,"2014-12-23 15:15:32"
5567778,"Steven P. McLaughlin",,1979-02-18,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:89989043-7bad-43c5-8f06-6efbd056ff17,"2014-12-23 15:15:32"
5567779,"A. Hesselberg",,1966-10-16,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:676790e1-ff4f-4f04-82c6-9d0542e527d9,"2014-12-23 15:15:32"
