coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
3025305,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050872_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050872_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050872_tn.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050872.jpg,,"Arizona State University Vascular Plant Herbarium (ASU-Plants)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:b4fb58ff-9694-47a5-859a-299d6adc777c,"2012-02-01 23:22:25",image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3025305,StillImage,Photograph,en
3025305,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050872a_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050872a_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050872a_tn.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050872a.jpg,,"Arizona State University Vascular Plant Herbarium (ASU-Plants)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:10b6e4b7-4e74-4a98-bce1-1d61a7851e6e,"2012-10-08 19:45:07",image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3025305,StillImage,Photograph,en
3025305,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050872b_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050872b_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050872b_tn.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050872b.jpg,,"Arizona State University Vascular Plant Herbarium (ASU-Plants)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:8585495f-e868-4047-b970-1e77364b56d6,"2012-10-08 19:45:08",image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3025305,StillImage,Photograph,en
3025306,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050873_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050873_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050873_tn.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050873.jpg,,"Arizona State University Vascular Plant Herbarium (ASU-Plants)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:9aa56bf7-a952-41cf-bc6e-c19af339e3ca,"2012-02-01 23:22:27",image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3025306,StillImage,Photograph,en
3025307,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050874_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050874_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050874_tn.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050874.jpg,,"Arizona State University Vascular Plant Herbarium (ASU-Plants)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:933507f2-ff56-488d-b9ae-c7c92204818a,"2012-02-01 23:22:28",image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3025307,StillImage,Photograph,en
3025308,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050875_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050875_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050875_tn.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050875.jpg,,"Arizona State University Vascular Plant Herbarium (ASU-Plants)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:e8ffb7b4-7988-4c11-9db9-6f6f72fc7a8a,"2012-02-01 23:22:29",image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3025308,StillImage,Photograph,en
3025309,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050876_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050876_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050876_tn.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050876.jpg,,"Arizona State University Vascular Plant Herbarium (ASU-Plants)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:eaa802de-488a-4e65-9c6f-5342da40e495,"2012-02-01 23:22:31",image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3025309,StillImage,Photograph,en
3025310,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050877_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050877_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050877_tn.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050877.jpg,,"Arizona State University Vascular Plant Herbarium (ASU-Plants)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:b661a560-557b-4686-acfe-46114acf5381,"2012-02-01 23:22:32",image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3025310,StillImage,Photograph,en
3025311,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050878_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050878_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050878_tn.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050878.jpg,,"Arizona State University Vascular Plant Herbarium (ASU-Plants)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:83202c7c-4992-4bb5-9297-71b35da9a89d,"2012-02-01 23:22:33",image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3025311,StillImage,Photograph,en
3025312,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050879_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050879_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050879_tn.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050879.jpg,,"Arizona State University Vascular Plant Herbarium (ASU-Plants)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:5912395f-eedb-4d10-860a-402db8e342e0,"2012-02-01 23:22:35",image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3025312,StillImage,Photograph,en
