id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey,collId,recordId,references
4693796,BOON,CUCH1,,PreservedSpecimen,7f7abca9-af94-45b9-88d8-d21c3a96c21b,990,11403,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata,(L.) Ames,Cleistes,divaricata,,,,,,,,,,"Carpenter, I. W. & Hicks, M. L.",,,,6/18/75,1975,6,18,169,,,,,,,338,,,,,,,,,,,,,,United States,North Carolina,Wilkes,,Wilkes County,,1,,36.281527,-81.169788,WGS84,14542,,,,GeoLocate,,,,,,,,,,,,7/23/15 13:37,,610,urn:uuid:7f7abca9-af94-45b9-88d8-d21c3a96c21b,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4693796
4693746,USCH,MAIN,,PreservedSpecimen,0a4ddf53-3c87-46bf-a50d-fbf39195129c,1734,1734,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata,(L.) Ames,Cleistes,divaricata,,,"Porcher, Jr., Richard",,,,,,,"Porcher, Jr., Richard",,,16,6/10/71,1971,6,10,161,,,,"Belmont Plantation, plot 43-0312",,,,,,,,flowering,,,,,,,,,United States,South Carolina,Hampton County,,"Hampton, Belmont Plantation",,1,,32.877943,-81.127605,WGS84,3207,,,,GeoLocate,,,,,,,,,,,,5/25/16 13:38,,610,urn:uuid:0a4ddf53-3c87-46bf-a50d-fbf39195129c,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4693746
4693986,USCS,CUCH1,,PreservedSpecimen,38ff3434-372c-4823-a516-66d46119d743,2324,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata,(L.) Ames,Cleistes,divaricata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,South Carolina,Beaufort,,Beaufort County,,1,,32.299037,-80.591233,WGS84,14542,,,,GeoLocate,,,,,,,,,,en,Melissa Lech,7/13/16 11:42,,610,urn:uuid:38ff3434-372c-4823-a516-66d46119d743,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4693986
4693879,UNCA,CUCH1,,PreservedSpecimen,b6b2a804-6df5-48cb-961e-ff478e147d2a,3107,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistesiopsis bifaria,"(Fernald) Pansarin & F. Barros, 2008",Cleistesiopsis,bifaria,,,J. W. Petranka,4/30/15,,,,#NAME?,,O. M. Freeman,,,52187,6/13/52,1952,6,13,165,,,,,,,,,,,,,,,,,,,,,United States,North Carolina,Polk,,Two miles E of Mill Spring.,,1,,35.284725,-82.12775,WGS84,3036,,,,GeoLocate,,,,,,,,,,,Petranka,12/13/15 1:44,,610,urn:uuid:b6b2a804-6df5-48cb-961e-ff478e147d2a,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4693879
4693797,BOON,CUCH1,,PreservedSpecimen,e00aa3ba-cadb-42ab-95b3-0dd4ffb9880d,8098,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistesiopsis bifaria,"(Fernald) Pansarin & F. Barros, 2008",Cleistesiopsis,bifaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,North Carolina,Alleghany,,Alleghany County,,1,,36.431697,-81.085991,WGS84,14542,,,,GeoLocate,,,,,,,,,,en,JMckenna,12/13/15 1:44,,610,urn:uuid:e00aa3ba-cadb-42ab-95b3-0dd4ffb9880d,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4693797
4693798,BOON,CUCH1,,PreservedSpecimen,b8a66b02-1ab5-4bf6-8b71-85eb534ca536,8099,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata,(L.) Ames,Cleistes,divaricata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,North Carolina,Burke,,Burke County,,1,,35.659194,-81.709509,WGS84,14542,,,,GeoLocate,,,,,,,,,,en,JMckenna,10/19/15 20:16,,610,urn:uuid:b8a66b02-1ab5-4bf6-8b71-85eb534ca536,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4693798
4693799,BOON,CUCH1,,PreservedSpecimen,a5baf642-847a-4f06-80a7-5af941fd276b,8100,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata,(L.) Ames,Cleistes,divaricata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,North Carolina,Brunswick,,Brunswick County,,1,,34.084481,-78.28908,WGS84,14542,,,,GeoLocate,,,,,,,,,,en,JMckenna,10/19/15 20:16,,610,urn:uuid:a5baf642-847a-4f06-80a7-5af941fd276b,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4693799
4693800,BOON,CUCH1,,PreservedSpecimen,24d355c9-986e-47b2-844f-37f4e87dc561,8101,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata,(L.) Ames,Cleistes,divaricata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,North Carolina,McDowell,,McDowell County,,1,,35.608704,-81.691646,WGS84,14542,,,,GeoLocate,,,,,,,,,,en,JMckenna,10/19/15 20:16,,610,urn:uuid:24d355c9-986e-47b2-844f-37f4e87dc561,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4693800
4693738,NY,CUCH1,,PreservedSpecimen,f986a723-d5e9-4a25-b098-34a15301887e,8653,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata var. bifaria,Fernald,Cleistes,divaricata,var.,bifaria,,,,,,,isotype,J. K. Small,,,285,1891-07-02,1891,7,2,183,,02 Jul 1891,,,,,,,,,,,,,,,,,,,United States of America,North Carolina,Burke Co.,,Summit of Table Rock Mountain,,1,,35.890961,-81.882886,WGS84,1807,,,,GeoLocate,,,,,,,,,,,,7/23/15 10:11,,610,urn:uuid:f986a723-d5e9-4a25-b098-34a15301887e,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4693738
4693739,NY,CUCH1,,PreservedSpecimen,e3163fc1-5975-4c76-9e6b-de4b04144abc,8654,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata var. bifaria,Fernald,Cleistes,divaricata,var.,bifaria,,,,,,,isotype,J. K. Small,,,285,1891-07-02,1891,7,2,183,,02 Jul 1891,,,,,,,,,,,,,,,,,,,United States of America,North Carolina,Burke Co.,,Summit of Table Rock Mountain,,1,,35.890961,-81.882886,WGS84,1807,,,,GeoLocate,,,,,,,,,,,,7/23/15 10:11,,610,urn:uuid:e3163fc1-5975-4c76-9e6b-de4b04144abc,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4693739
4693901,MMNS,CUCH1,,PreservedSpecimen,d4d8e360-254b-4be0-a53b-b962c9a75364,9983,9983,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes bifaria,(Fernald) Catling & Gregg,Cleistes,bifaria,,,,,,,,,,John Hays,,,3247,5/13/03,2003,5,13,133,,5/13/03,,Recently-burned but mostly grown over bog and longleaf pine savanna.,,,,,,,,flo,,,,,,,,,United States,Mississippi,Jackson,,VanCleave; McGregor Rd. ca. 2.6 m. NNE of jct. with HY57 ca. 100 meters before bridge over Pascagoula River;,,1,,30.58032,-88.671,WGS84,100,"T5S,R7W, S.27, NW4SE4.",heathers (2016-06-03 08:26:43),,georef batch tool 2016-06-03,reviewed - high confidence,,,,,,,,,,,6/3/16 11:26,,610,urn:uuid:d4d8e360-254b-4be0-a53b-b962c9a75364,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4693901
4693902,MMNS,CUCH1,,PreservedSpecimen,279782b8-c115-4579-a71e-d95c30acbb0d,9984,9984,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes bifaria,(Fernald) Catling & Gregg,Cleistes,bifaria,,,,,,,,,,John Hays,,,3245,5/13/03,2003,5,13,133,,5/13/03,,Small (<0.5 acre) regularly mown bog.,,,,,,,,flo,,,,,,,,,United States,Mississippi,Jackson,,VanCleave; HY57 across (NE) from VanCleave Elementary School,,1,,30.54765,-88.69031,WGS84,100,"T6S,R7W, S.4, NE4SW4",heathers (2016-06-03 08:26:13),,georef batch tool 2016-06-03,reviewed - high confidence,,,,,,,,,,,6/3/16 11:26,,610,urn:uuid:279782b8-c115-4579-a71e-d95c30acbb0d,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4693902
4693903,MMNS,CUCH1,,PreservedSpecimen,5e4e6c89-d929-4d31-a5a1-5d3abb80ff5d,10651,10651,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes bifaria,(Fernald) Catling & Gregg,Cleistes,bifaria,,,,,,,,,,Dan Wyrick,,,95-40,5/8/95,1995,5,8,128,,5/8/95,infrequent in openings among shrubs; moist sandy loam soil.,degraded pitcher plant savannah which has been logged and extensively colonized by Cliftonia monophylla. elev. 210',,,,,,,,flo,,,,,,,,,United States,Mississippi,Perry,,"CSTS TA 34, DeSoto Nat'l Forest. pitcher plant savannah 0.9 mi S of FR 312 on Rd. accessing military firing pts. 311 and 512.",Camp Shelby Training Site,1,,31.15467,-89.00273,WGS84,100,SE/4 NE/4 SW/4 SEC 9 T2N R12W,heathers (2016-06-02 08:25:15),,georef batch tool 2016-06-02,reviewed - high confidence,,,,,,,,,,HMS,6/2/16 11:25,,610,urn:uuid:5e4e6c89-d929-4d31-a5a1-5d3abb80ff5d,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4693903
4693982,GEO,General Collection,,PreservedSpecimen,591e9251-c500-4864-acde-f82ae5d51afb,16244,GEO-GC-016244-0,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata,(L.) Ames,Cleistes,divaricata,,,,,,,,,,G. W. McDowell,,,,6/18/47,1947,6,18,169,,,Native to Southeastern United States,"Devil's Fork Swamp, 2 1/2 miles east of Hendersonville",,,406,,,,,,,,,,,,,,United States of America,North Carolina,Henderson County,,Henderson County,,1,,35.317805,-82.529345,WGS84,14542,,,,GeoLocate,,,,,,,,,,,,5/16/16 10:04,,610,urn:uuid:591e9251-c500-4864-acde-f82ae5d51afb,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4693982
4693745,USCH,MAIN,,PreservedSpecimen,9c55f258-a8cf-4c69-b85f-de3a5ccfca68,18329,18329,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata,(L.) Ames,Cleistes,divaricata,,,"Batson, Jr., Wade",,,,,,,"Batson, Jr., Wade",,,,6/2/67,1967,6,2,153,,,,overgrown bottomland,,,,,,,,flowering,,,,,,,,,United States,South Carolina,Hampton County,,3 miles S of Hampton Low,,1,,32.834409,-81.127605,WGS84,7103,,,,GeoLocate,,,,,,,,,,,,5/25/16 13:38,,610,urn:uuid:9c55f258-a8cf-4c69-b85f-de3a5ccfca68,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4693745
4693754,USCH,MAIN,,PreservedSpecimen,24bd58f6-b7d7-49d4-9a6f-628e40d50478,18330,18330,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata,(L.) Ames,Cleistes,divaricata,,,"Fairey, III, John",,,,,,,"Fairey, III, John; Dukes, T.; Fairey, Daniel",,,,6/4/61,1961,6,4,155,,,,"Duukes Farm, 4 miles SW of Rowesville Wet open pine savannah",,,,,,,,flowering,,,,,,,,,United States,South Carolina,Orangeburg County,,Rowesville,,1,,33.354968,-80.868281,WGS84,1013,,,,GeoLocate,,,,,,,,,,,,5/25/16 13:38,,610,urn:uuid:24bd58f6-b7d7-49d4-9a6f-628e40d50478,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4693754
