STATE,CWA,COUNTYNAME,FIPS,TIME_ZONE,FE_AREA,LON,LAT
ME,CAR,Washington,23029,E,se,-67.63610156450,45.03631909760
GA,CHS,McIntosh,13191,E,se,-81.26461211600,31.53298214430
GA,CHS,Liberty,13179,E,se,-81.21024110570,31.70931178400
AS,PPG,Swains Island,60040,S,,-171.04590685400,-11.08431357270
AS,PPG,Manu'a,60020,S,,-169.50597436700,-14.22191885580
AS,PPG,Western,60050,S,,-170.76912781600,-14.32413207790
AS,PPG,Eastern,60010,S,,-170.65964082600,-14.27626052380
PR,SJU,Anasco,72011,V,,-67.12213336650,18.28698983950
PR,SJU,Arroyo,72015,V,,-66.05632291090,17.99815988780
PR,SJU,Barceloneta,72017,V,,-66.56046948670,18.44535166050
PR,SJU,Barranquitas,72019,V,,-66.30991478750,18.20174009990
PR,SJU,Bayamon,72021,V,,-66.16836633340,18.34965622320
PR,SJU,Caguas,72025,V,,-66.05076167360,18.21193488020
PR,SJU,Canovanas,72029,V,,-65.88785921440,18.32877514590
PR,SJU,Cayey,72035,V,,-66.14948335470,18.10293655490
PR,SJU,Ceiba,72037,V,,-65.66781634650,18.25256940100
PR,SJU,Ciales,72039,V,,-66.51638703570,18.28891662660
PR,SJU,Cidra,72041,V,,-66.16108326570,18.17369696040
PR,SJU,Coamo,72043,V,,-66.36013300920,18.09722691510
PR,SJU,Comerio,72045,V,,-66.22188244680,18.22475618400
PR,SJU,Corozal,72047,V,,-66.32790130270,18.30430783430
PR,SJU,Florida,72054,V,,-66.56013441050,18.37345544760
PR,SJU,Guanica,72055,V,,-66.91977382250,17.98269393170
PR,SJU,Guayama,72057,V,,-66.13356403160,18.00770944650
PR,SJU,Guayanilla,72059,V,,-66.79162140260,18.04063339170
PR,SJU,Guaynabo,72061,V,,-66.11447145980,18.34424177050
PR,SJU,Gurabo,72063,V,,-65.97913615610,18.26631538090
PR,SJU,Hatillo,72065,V,,-66.79634712090,18.41059753770
PR,SJU,Hormigueros,72067,V,,-67.11399505060,18.13406858000
PR,SJU,Mayaguez,72097,V,,-67.33702657870,18.17162239110
PR,SJU,Naguabo,72103,V,,-65.75416379930,18.23057866430
PR,SJU,Jayuya,72073,V,,-66.58845518550,18.21060358960
PR,SJU,Juana Diaz,72075,V,,-66.49510656280,18.05072441480
PR,SJU,Juncos,72077,V,,-65.90891521770,18.22357435660
PR,SJU,Lajas,72079,V,,-67.04044476470,18.01226626510
PR,SJU,Lares,72081,V,,-66.86687204390,18.26891321390
PR,SJU,Las Piedras,72085,V,,-65.86925802550,18.18761187770
PR,SJU,Manati,72091,V,,-66.49023298040,18.42039366170
PR,SJU,Maricao,72093,V,,-66.94236122560,18.17210558850
PR,SJU,Maunabo,72095,V,,-65.92189010330,18.01804529690
PR,SJU,Moca,72099,V,,-67.08079173010,18.37790270630
PR,SJU,Morovis,72101,V,,-66.42024015730,18.31707801650
PR,SJU,Naranjito,72105,V,,-66.25258690020,18.28837204360
PR,SJU,Orocovis,72107,V,,-66.43387573290,18.21486297100
PR,SJU,Patillas,72109,V,,-66.01218914380,18.03170551580
PR,SJU,Penuelas,72111,V,,-66.72109778650,18.06081507320
PR,SJU,Ponce,72113,V,,-66.61405257600,18.05966229750
PR,SJU,Sabana Grande,72121,V,,-66.94351404910,18.08302326400
PR,SJU,Salinas,72123,V,,-66.25636826510,18.01147455330
PR,SJU,San German,72125,V,,-67.03845852940,18.11112036110
PR,SJU,San Juan,72127,V,,-66.06066548040,18.38640205720
PR,SJU,San Lorenzo,72129,V,,-65.97643815760,18.14799258470
PR,SJU,Santa Isabel,72133,V,,-66.38886815390,17.99499302810
PR,SJU,Trujillo Alto,72139,V,,-65.99921298770,18.33619707970
PR,SJU,Utuado,72141,V,,-66.70239964650,18.27100215650
PR,SJU,Vega Alta,72143,V,,-66.33718530890,18.40928251740
PR,SJU,Villalba,72149,V,,-66.47287258910,18.12803244790
PR,SJU,Yabucoa,72151,V,,-65.89652481970,18.07057161000
PR,SJU,Yauco,72153,V,,-66.85863813390,18.08011100420
PR,SJU,San Sebastian,72131,V,,-66.97123565640,18.32875341040
PR,SJU,Adjuntas,72001,V,,-66.75418864220,18.17977731570
PR,SJU,Aguas Buenas,72007,V,,-66.12680185530,18.25164763860
PR,SJU,Aibonito,72009,V,,-66.26438575830,18.13106450840
VI,SJU,Saint Croix,78010,V,,-64.76770833510,17.73327616360
PR,SJU,Arecibo,72013,V,,-66.67515222520,18.40675668730
PR,SJU,Las Marias,72083,V,,-66.98347478130,18.23711817660
PR,SJU,Rincon,72117,V,,-67.24137257370,18.33738457760
PR,SJU,Aguadilla,72005,V,,-67.12075238820,18.45970977180
PR,SJU,Isabela,72071,V,,-67.00522097030,18.44993748270
PR,SJU,Camuy,72027,V,,-66.86024358700,18.41883285070
PR,SJU,Dorado,72051,V,,-66.27874661270,18.43645155320
PR,SJU,Toa Alta,72135,V,,-66.24639645430,18.36254569120
PR,SJU,Aguada,72003,V,,-67.17475950130,18.36026315100
PR,SJU,Culebra,72049,V,,-65.28766184640,18.31585960060
PR,SJU,Cabo Rojo,72023,V,,-67.15366947780,18.04151460360
PR,SJU,Fajardo,72053,V,,-65.66856290760,18.31763793530
PR,SJU,Vieques,72147,V,,-65.44145436130,18.12314382120
PR,SJU,Carolina,72031,V,,-65.95670363170,18.37418846820
VI,SJU,Saint Thomas,78030,V,,-64.93017999820,18.34533446210
PR,SJU,Quebradillas,72115,V,,-66.92595123690,18.43969299680
PR,SJU,Catano,72033,V,,-66.14402423220,18.43742842430
PR,SJU,Luquillo,72089,V,,-65.72491281830,18.34219164240
PR,SJU,Humacao,72069,V,,-65.81052976610,18.14519131240
VI,SJU,Saint John,78020,V,,-64.73846869800,18.33901874990
PR,SJU,Rio Grande,72119,V,,-65.82017409940,18.35527113390
PR,SJU,Loiza,72087,V,,-65.92471548330,18.43399418160
GU,GUM,Guam,66010,G,,144.77492478200,13.44193867220
GU,GUM,Northern Islands,69085,G,,145.69222000300,17.97236846420
GU,GUM,Saipan,69110,G,,145.75229697300,15.18890754130
GU,GUM,Rota,69100,G,,145.21264621900,14.15582076470
GU,GUM,Tinian,69120,G,,145.62413349000,15.00138529970
CT,BOX,Hartford,09003,E,nn,-72.73280303960,41.80641902410
CT,BOX,Tolland,09013,E,nn,-72.33646718950,41.85502268890
CT,BOX,Windham,09015,E,nn,-71.98754388470,41.82995735760
MA,BOX,Nantucket,25019,E,se,-70.07443841820,41.27808000560
MD,PBZ,Garrett,24023,E,ww,-79.27385644380,39.52860715860
VT,BTV,Windsor,50027,E,ss,-72.58546641140,43.57981438920
NH,GYX,Sullivan,33019,E,cc,-72.22233988550,43.36123396040
NH,GYX,Belknap,33001,E,cc,-71.42329371010,43.51875327240
NH,GYX,Cheshire,33005,E,ss,-72.25117436980,42.91932131310
NH,GYX,Strafford,33017,E,cc,-71.02932517540,43.29747068350
NY,BGM,Yates,36123,E,cc,-77.10545759370,42.63346792690
NY,BUF,Allegany,36003,E,ww,-78.02757860190,42.25741030860
NY,BGM,Broome,36007,E,cc,-75.81961529280,42.16022484560
NY,BUF,Cattaraugus,36009,E,ww,-78.67891140950,42.24859645530
NY,BGM,Chemung,36015,E,cc,-76.76001506620,42.14125870220
NY,BGM,Chenango,36017,E,cc,-75.61154476610,42.49355716250
NY,BGM,Cortland,36023,E,cc,-76.07024343780,42.59501225100
NY,BGM,Delaware,36025,E,cc,-74.96645027720,42.19820086490
NY,BUF,Genesee,36037,E,ww,-78.19364137610,43.00097102180
NY,ALY,Hamilton,36041,E,ee,-74.49734946570,43.66113534640
NY,BUF,Lewis,36049,E,cc,-75.44876414770,43.78471727520
NY,BUF,Livingston,36051,E,ww,-77.77543988210,42.72805417090
NY,BGM,Madison,36053,E,cc,-75.66974118730,42.91287301370
NY,ALY,Montgomery,36057,E,ee,-74.43969761570,42.90230828210
NY,BGM,Onondaga,36067,E,cc,-76.19464549110,43.00578436170
NY,BUF,Ontario,36069,E,ww,-77.29982681750,42.85288619730
NY,OKX,Orange,36071,E,se,-74.30563675380,41.40223122470
NY,BGM,Otsego,36077,E,cc,-75.03263301440,42.63383250570
NY,OKX,Putnam,36079,E,se,-73.74953845220,41.42665982460
NY,OKX,Rockland,36087,E,se,-74.02408070690,41.15294073070
NY,ALY,Schoharie,36095,E,ec,-74.44210594560,42.58823392850
NY,BGM,Schuyler,36097,E,cc,-76.87522004540,42.39378312180
NY,BGM,Seneca,36099,E,cc,-76.82374474250,42.78102040220
NY,BGM,Steuben,36101,E,cc,-77.38378883350,42.26782480410
NY,BGM,Sullivan,36105,E,cc,-74.76811735940,41.71641097010
NY,BGM,Tioga,36107,E,cc,-76.30630041360,42.17026045200
NY,BGM,Tompkins,36109,E,cc,-76.47366759910,42.45201557950
NY,BUF,Wyoming,36121,E,ww,-78.22448997930,42.70233051900
PA,CTP,Adams,42001,E,sc,-77.21790832330,39.87151048200
PA,PBZ,Allegheny,42003,E,sw,-79.98120778120,40.46884158450
PA,PBZ,Armstrong,42005,E,wc,-79.46451426620,40.81246244930
PA,PBZ,Beaver,42007,E,ww,-80.34933240820,40.68227052240
PA,CTP,Bedford,42009,E,sc,-78.49016110640,40.00658958460
