id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey,collId,recordId,references
4694048,BOON,CUCH1,,PreservedSpecimen,ba031633-fc28-4d4a-ae9f-20326f96d27a,990,11403,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata,(L.) Ames,Cleistes,divaricata,,,,,,,,,,"Carpenter, I. W. & Hicks, M. L.",,,,6/18/75,1975,6,18,169,,,,,,,338,,,,,,,,,,,,,,United States,North Carolina,Wilkes,,Wilkes County,,1,,36.281527,-81.169788,WGS84,14542,,,,GeoLocate,,,,,,,,,,,,7/23/15 13:37,,611,urn:uuid:ba031633-fc28-4d4a-ae9f-20326f96d27a,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694048
4693998,USCH,MAIN,,PreservedSpecimen,2fce01a0-0c26-4517-94c4-fb0a56622190,1734,1734,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata,(L.) Ames,Cleistes,divaricata,,,"Porcher, Jr., Richard",,,,,,,"Porcher, Jr., Richard",,,16,6/10/71,1971,6,10,161,,,,"Belmont Plantation, plot 43-0312",,,,,,,,flowering,,,,,,,,,United States,South Carolina,Hampton County,,"Hampton, Belmont Plantation",,1,,32.877943,-81.127605,WGS84,3207,,,,GeoLocate,,,,,,,,,,,,5/25/16 13:38,,611,urn:uuid:2fce01a0-0c26-4517-94c4-fb0a56622190,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4693998
4694238,USCS,CUCH1,,PreservedSpecimen,2f101d5b-8784-4318-b0fc-bb8b1d4f7f68,2324,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata,(L.) Ames,Cleistes,divaricata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,South Carolina,Beaufort,,Beaufort County,,1,,32.299037,-80.591233,WGS84,14542,,,,GeoLocate,,,,,,,,,,en,Melissa Lech,7/13/16 11:42,,611,urn:uuid:2f101d5b-8784-4318-b0fc-bb8b1d4f7f68,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694238
4694131,UNCA,CUCH1,,PreservedSpecimen,332fece9-667d-4b51-91d7-c91d2e8d640a,3107,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata,(L.) Ames,Cleistes,divaricata,,,Nomenclatural Adjustment,9-Aug-16,http://uncpress.unc.edu/books/T-766.html,All orchid records to RAB 1968.,,#NAME?,,O. M. Freeman,,,52187,6/13/52,1952,6,13,165,,,,,,,,,,,,,,,,,,,,,United States,North Carolina,Polk,,Two miles E of Mill Spring.,,1,,35.284725,-82.12775,WGS84,3036,,,,GeoLocate,,,,,,,,,,,Petranka,12/13/15 1:44,,611,urn:uuid:332fece9-667d-4b51-91d7-c91d2e8d640a,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694131
4694049,BOON,CUCH1,,PreservedSpecimen,cd907197-e802-4a12-816e-9254f859ead4,8098,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata,(L.) Ames,Cleistes,divaricata,,,Nomenclatural Adjustment,9-Aug-16,http://uncpress.unc.edu/books/T-766.html,All orchid records to RAB 1968.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,North Carolina,Alleghany,,Alleghany County,,1,,36.431697,-81.085991,WGS84,14542,,,,GeoLocate,,,,,,,,,,en,JMckenna,12/13/15 1:44,,611,urn:uuid:cd907197-e802-4a12-816e-9254f859ead4,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694049
4694050,BOON,CUCH1,,PreservedSpecimen,c79f7c9b-44c2-4523-b8af-fb10117fb8d1,8099,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata,(L.) Ames,Cleistes,divaricata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,North Carolina,Burke,,Burke County,,1,,35.659194,-81.709509,WGS84,14542,,,,GeoLocate,,,,,,,,,,en,JMckenna,10/19/15 20:16,,611,urn:uuid:c79f7c9b-44c2-4523-b8af-fb10117fb8d1,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694050
4694051,BOON,CUCH1,,PreservedSpecimen,49868fbd-36d6-4ffc-bc02-0e3a37cb5891,8100,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata,(L.) Ames,Cleistes,divaricata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,North Carolina,Brunswick,,Brunswick County,,1,,34.084481,-78.28908,WGS84,14542,,,,GeoLocate,,,,,,,,,,en,JMckenna,10/19/15 20:16,,611,urn:uuid:49868fbd-36d6-4ffc-bc02-0e3a37cb5891,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694051
4694052,BOON,CUCH1,,PreservedSpecimen,445e551a-71bd-4162-9cb8-79dd024a6531,8101,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata,(L.) Ames,Cleistes,divaricata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,North Carolina,McDowell,,McDowell County,,1,,35.608704,-81.691646,WGS84,14542,,,,GeoLocate,,,,,,,,,,en,JMckenna,10/19/15 20:16,,611,urn:uuid:445e551a-71bd-4162-9cb8-79dd024a6531,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694052
4693990,NY,CUCH1,,PreservedSpecimen,eccaa512-9320-42ff-8fcc-4c3dd664b15b,8653,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata,(L.) Ames,Cleistes,divaricata,,,Nomenclatural Adjustment,9-Aug-16,http://uncpress.unc.edu/books/T-766.html,All orchid records to RAB 1968.,,,isotype,J. K. Small,,,285,1891-07-02,1891,7,2,183,,02 Jul 1891,,,,,,,,,,,,,,,,,,,United States of America,North Carolina,Burke Co.,,Summit of Table Rock Mountain,,1,,35.890961,-81.882886,WGS84,1807,,,,GeoLocate,,,,,,,,,,,,7/23/15 10:11,,611,urn:uuid:eccaa512-9320-42ff-8fcc-4c3dd664b15b,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4693990
4693991,NY,CUCH1,,PreservedSpecimen,10032972-61d7-4968-a614-fe91ff540026,8654,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata,(L.) Ames,Cleistes,divaricata,,,Nomenclatural Adjustment,9-Aug-16,http://uncpress.unc.edu/books/T-766.html,All orchid records to RAB 1968.,,,isotype,J. K. Small,,,285,1891-07-02,1891,7,2,183,,02 Jul 1891,,,,,,,,,,,,,,,,,,,United States of America,North Carolina,Burke Co.,,Summit of Table Rock Mountain,,1,,35.890961,-81.882886,WGS84,1807,,,,GeoLocate,,,,,,,,,,,,7/23/15 10:11,,611,urn:uuid:10032972-61d7-4968-a614-fe91ff540026,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4693991
