id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey,collId,recordId,references
4694303,BOON,CUCH1,,PreservedSpecimen,26472100-580a-4c05-9441-301f8a6963d4,990,11403,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistesiopsis bifaria,"(Fernald) Pansarin & F. Barros, 2008",Cleistesiopsis,bifaria,,,N.M. Franz,2016,Weakley. 2015.,,,,,"Carpenter, I. W. & Hicks, M. L.",,,,6/18/75,1975,6,18,169,,,,,,,338,,,,,,,,,,,,,,United States,North Carolina,Wilkes,,Wilkes County,,1,,36.281527,-81.169788,WGS84,14542,,,,GeoLocate,,,,,,,,,,,,7/23/15 13:37,,612,urn:uuid:26472100-580a-4c05-9441-301f8a6963d4,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694303
4694253,USCH,MAIN,,PreservedSpecimen,16baa430-2ba6-4566-a603-018ef9f03a65,1734,1734,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistesiopsis divaricata,"(L.) Pansarin & F. Barros, 2009",Cleistesiopsis,divaricata,,,N.M. Franz,2016,,,,,,"Porcher, Jr., Richard",,,16,6/10/71,1971,6,10,161,,,,"Belmont Plantation, plot 43-0312",,,,,,,,flowering,,,,,,,,,United States,South Carolina,Hampton County,,"Hampton, Belmont Plantation",,1,,32.877943,-81.127605,WGS84,3207,,,,GeoLocate,,,,,,,,,,,,5/25/16 13:38,,612,urn:uuid:16baa430-2ba6-4566-a603-018ef9f03a65,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694253
4694493,USCS,CUCH1,,PreservedSpecimen,12060248-7d14-4ea3-9ebf-02b9ef2ef9fe,2324,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistesiopsis oricamporum,"P.M. Brown, 1982",Cleistesiopsis,oricamporum,,,N.M. Franz,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,South Carolina,Beaufort,,Beaufort County,,0,,32.299037,-80.591233,WGS84,14542,,,,GeoLocate,,,,,,,,,,en,Melissa Lech,7/13/16 11:42,,612,urn:uuid:12060248-7d14-4ea3-9ebf-02b9ef2ef9fe,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694493
4694386,UNCA,CUCH1,,PreservedSpecimen,8267da40-0c01-4e5a-9b04-b856179ed3f2,3107,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistesiopsis bifaria,"(Fernald) Pansarin & F. Barros, 2008",Cleistesiopsis,bifaria,,,N.M. Franz,2016,Weakley. 2015.,,,,,O. M. Freeman,,,52187,6/13/52,1952,6,13,165,,,,,,,,,,,,,,,,,,,,,United States,North Carolina,Polk,,Two miles E of Mill Spring.,,1,,35.284725,-82.12775,WGS84,3036,,,,GeoLocate,,,,,,,,,,,Petranka,12/13/15 1:44,,612,urn:uuid:8267da40-0c01-4e5a-9b04-b856179ed3f2,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694386
4694304,BOON,CUCH1,,PreservedSpecimen,f76953ab-d8ab-4daf-80e6-7145726dc486,8098,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistesiopsis bifaria,"(Fernald) Pansarin & F. Barros, 2008",Cleistesiopsis,bifaria,,,N.M. Franz,2016,Weakley. 2015.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,North Carolina,Alleghany,,Alleghany County,,1,,36.431697,-81.085991,WGS84,14542,,,,GeoLocate,,,,,,,,,,en,JMckenna,12/13/15 1:44,,612,urn:uuid:f76953ab-d8ab-4daf-80e6-7145726dc486,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694304
4694305,BOON,CUCH1,,PreservedSpecimen,021db83e-bdab-40c9-bac5-b164b50562ba,8099,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistesiopsis bifaria,"(Fernald) Pansarin & F. Barros, 2008",Cleistesiopsis,bifaria,,,N.M. Franz,2016,Weakley. 2015.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,North Carolina,Burke,,Burke County,,1,,35.659194,-81.709509,WGS84,14542,,,,GeoLocate,,,,,,,,,,en,JMckenna,10/19/15 20:16,,612,urn:uuid:021db83e-bdab-40c9-bac5-b164b50562ba,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694305
4694306,BOON,CUCH1,,PreservedSpecimen,12825da9-7dd6-4111-9a69-67272687c050,8100,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistesiopsis divaricata,"(L.) Pansarin & F. Barros, 2009",Cleistesiopsis,divaricata,,,N.M. Franz,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,North Carolina,Brunswick,,Brunswick County,,1,,34.084481,-78.28908,WGS84,14542,,,,GeoLocate,,,,,,,,,,en,JMckenna,10/19/15 20:16,,612,urn:uuid:12825da9-7dd6-4111-9a69-67272687c050,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694306
4694307,BOON,CUCH1,,PreservedSpecimen,c93e96a6-9770-4d96-85ac-55a393147126,8101,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistesiopsis bifaria,"(Fernald) Pansarin & F. Barros, 2008",Cleistesiopsis,bifaria,,,N.M. Franz,2016,Weakley. 2016.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,North Carolina,McDowell,,McDowell County,,1,,35.608704,-81.691646,WGS84,14542,,,,GeoLocate,,,,,,,,,,en,JMckenna,10/19/15 20:16,,612,urn:uuid:c93e96a6-9770-4d96-85ac-55a393147126,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694307
4694245,NY,CUCH1,,PreservedSpecimen,c9212e85-3675-44e4-ac63-b3b4bcfe6f7a,8653,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistesiopsis bifaria,"(Fernald) Pansarin & F. Barros, 2008",Cleistesiopsis,bifaria,,,N.M. Franz,2016,Weakley. 2016.,,,,isotype,J. K. Small,,,285,1891-07-02,1891,7,2,183,,02 Jul 1891,,,,,,,,,,,,,,,,,,,United States of America,North Carolina,Burke Co.,,Summit of Table Rock Mountain,,1,,35.890961,-81.882886,WGS84,1807,,,,GeoLocate,,,,,,,,,,,,7/23/15 10:11,,612,urn:uuid:c9212e85-3675-44e4-ac63-b3b4bcfe6f7a,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694245
4694246,NY,CUCH1,,PreservedSpecimen,48a27ea8-907d-43d5-861b-5d6d6547b3f7,8654,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistesiopsis bifaria,"(Fernald) Pansarin & F. Barros, 2008",Cleistesiopsis,bifaria,,,N.M. Franz,2016,Weakley. 2016.,,,,isotype,J. K. Small,,,285,1891-07-02,1891,7,2,183,,02 Jul 1891,,,,,,,,,,,,,,,,,,,United States of America,North Carolina,Burke Co.,,Summit of Table Rock Mountain,,1,,35.890961,-81.882886,WGS84,1807,,,,GeoLocate,,,,,,,,,,,,7/23/15 10:11,,612,urn:uuid:48a27ea8-907d-43d5-861b-5d6d6547b3f7,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694246
