coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,tidInterpreted,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
4693989,unknown,,2005-05-15,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:4eba7452-12db-4a23-951f-c7a37cc33bf1,"2016-08-09 12:04:03"
4693989,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:24025e76-9eea-435b-9e13-08b1b3e6006c,"2016-08-09 12:04:03"
4693990,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"All orchid records to RAB 1968.",urn:uuid:7149ad9f-ae7e-4ebd-8440-ba59d81260ac,"2016-08-09 12:05:09"
4693990,unknown,,unknown,,"Cleistes divaricata var. bifaria",,Fernald,,,,,,,urn:uuid:e63203c8-18ea-46b9-964b-ff2a45101337,"2016-08-09 12:05:09"
4693991,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"All orchid records to RAB 1968.",urn:uuid:808c395b-ebad-46f3-8bb2-4a3dbe03737f,"2016-08-09 12:05:09"
4693991,unknown,,unknown,,"Cleistes divaricata var. bifaria",,Fernald,,,,,,,urn:uuid:b60ed979-fdc4-4a45-afa8-60c015b09110,"2016-08-09 12:05:09"
4693992,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"All orchid records to RAB 1968.",urn:uuid:229db616-8ff8-4ac3-bb34-10eaae913ef2,"2016-08-09 12:07:38"
4693992,unknown,,unknown,,"Cleistesiopsis divaricata",,"(L.) Pansarin & F.Barros",,,,,,,urn:uuid:173124e1-ee95-44cf-819b-612f88cb82d5,"2016-08-09 12:07:38"
4694004,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:d2cf7b7b-14ea-452d-9cfc-f0f8086f24fb,"2016-08-09 12:04:03"
4694004,"Rayner, Douglas",,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:88b651b5-b407-41de-b526-b91842e92af4,"2016-08-09 12:04:04"
