id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
4693989,ARIZ,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,ae3a650b-b9ef-4ed9-8bcc-6fa09b54e38a,393087,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"Nomenclatural Adjustment","August 9, 2016",http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",,,,"Mark Fishbein; Lane Greer",,,2005,,,,,,"Perennial herb 50-70 cm tall, sepals reflexed, brown petals erect, pink, lip tubular, pink with brown veins, collumn green; uncommon.",,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, decimalLatitude, decimalLongitude, habitat",,,"Ilex glabra, Smilax auriculata, Sarracenia flava, S. psittacina, Aletris aurea, Taxodium.",Flowering,,,,,,"United States",Florida,"Liberty County",,,,,,,,,,,,,,,,,,,,MISSA,,Tammy,"2014-01-27 10:38:34",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:ae3a650b-b9ef-4ed9-8bcc-6fa09b54e38a,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4693989
4693990,NY,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,eccaa512-9320-42ff-8fcc-4c3dd664b15b,8653,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"Nomenclatural Adjustment","August 9, 2016",http://uncpress.unc.edu/books/T-766.html,"All orchid records to RAB 1968.",,,isotype,"J. K. Small",,,1891,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources",,,,,,,,,,"United States of America","North Carolina","Burke Co.",,,,,,,,,,,,,,,,,,,,,,,"2015-07-23 10:11:45",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:eccaa512-9320-42ff-8fcc-4c3dd664b15b,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4693990
4693991,NY,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,10032972-61d7-4968-a614-fe91ff540026,8654,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"Nomenclatural Adjustment","August 9, 2016",http://uncpress.unc.edu/books/T-766.html,"All orchid records to RAB 1968.",,,isotype,"J. K. Small",,,1891,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources",,,,,,,,,,"United States of America","North Carolina","Burke Co.",,,,,,,,,,,,,,,,,,,,,,,"2015-07-23 10:11:45",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:10032972-61d7-4968-a614-fe91ff540026,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4693991
4693992,SJNM,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,0c1ad909-0aaf-4f1d-ac5a-a7b333e8dd6d,45487,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"Nomenclatural Adjustment","August 9, 2016",http://uncpress.unc.edu/books/T-766.html,"All orchid records to RAB 1968.",,,,"Vasey, G. R.",,,1878,0,0,,,,,,,"field values redacted: eventDate, locality",,,,,,,,,"Unspecified - 1","United States",Georgia,,,,,,,,,,,,,,,,,,,,,,,,"2011-03-30 20:11:33",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:0c1ad909-0aaf-4f1d-ac5a-a7b333e8dd6d,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4693992
4693993,BRY,V,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,d66202ab-65c1-443f-bb25-f54f9a586e57,BRYV0023584,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,,,,,,,,"F. H. Sargent",,,1967,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources, habitat",,,,,,,,,,"United States",Mississippi,Hancock,,,,,,,,,,,,,,,,,,,,,English,,"2015-12-28 00:00:00",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:d66202ab-65c1-443f-bb25-f54f9a586e57,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4693993
4693994,BRY,V,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,ba3d3034-c583-4e97-9314-6603851bae2e,BRYV0023582,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,,,,,,,,"Samuel B. Jones; A. K. Gholson; Michael O. Moore",,,1990,,,,,,"Uncommon in this area.",,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources, habitat",,,,,,,,,,"United States",Florida,Liberty,,,,,,,,,,,,,,,,,,,,,English,,"2015-12-28 00:00:00",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:ba3d3034-c583-4e97-9314-6603851bae2e,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4693994
4693995,DBG,KHD,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,8e254bf0-f5b0-498b-80ef-95af456664d4,KHD00032030,39049,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,,,,,,,,"James D. Montgomery",,,1968,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources",,,,,,,,,,"United States","North Carolina","Carteret County",Newport,,,,,,,,,,,,,,,,,,,,,,"2015-07-23 13:37:58",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:8e254bf0-f5b0-498b-80ef-95af456664d4,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4693995
4693996,USCH,HWR,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,8dfbc9ad-1d52-4b18-97a1-8e63bdb45e8a,HWR-0004638,120111,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,,,,,,,,"Mellichamp, Joseph",,,,,,,,,,,,"field values redacted: locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources",,,,,,,,,,"United States","South Carolina","Beaufort County",,,,,,,,,,,,,,,,,,,,,,,"2016-05-25 13:29:39",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:8dfbc9ad-1d52-4b18-97a1-8e63bdb45e8a,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4693996
4693997,USCH,MAIN,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,c6a5af5f-6d1f-4627-9726-64e5cc5513ce,,18329,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"Batson, Jr., Wade",,,,,,,"Batson, Jr., Wade",,,1967,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources, habitat",,,,flowering,,,,,,"United States","South Carolina","Hampton County",,,,,,,,,,,,,,,,,,,,,,,"2016-05-25 13:38:55",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:c6a5af5f-6d1f-4627-9726-64e5cc5513ce,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4693997
4693998,USCH,MAIN,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,2fce01a0-0c26-4517-94c4-fb0a56622190,,1734,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"Porcher, Jr., Richard",,,,,,,"Porcher, Jr., Richard",,,1971,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources, habitat",,,,flowering,,,,,,"United States","South Carolina","Hampton County",,,,,,,,,,,,,,,,,,,,,,,"2016-05-25 13:38:55",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:2fce01a0-0c26-4517-94c4-fb0a56622190,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4693998
