,id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references,decimalLongitude,decimalLatitude
0,7969995,NCU,,,PreservedSpecimen,62f41058-0912-4ed2-b341-b844398b5006,NCU00163738,75269,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia grandiflora,17263,L.,Magnolia,grandiflora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,North Carolina,Brunswick,,,,,,,,,,,,,,,,,,,,,en,wpmarinello,11/25/15 9:57,,206,urn:uuid:62f41058-0912-4ed2-b341-b844398b5006,http://sernecportal.org/portal/collections/individual/index.php?occid=7969995,-78.24411267,34.07473261
1,7969996,NCU,,,PreservedSpecimen,7b5c3aab-5235-4e22-acd0-87f42e232736,NCU00015395,154541,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia grandiflora,17263,L.,Magnolia,grandiflora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,North Carolina,Brunswick,,,,,,,,,,,,,,,,,,,,,en,wpmarinello,11/25/15 9:57,,206,urn:uuid:7b5c3aab-5235-4e22-acd0-87f42e232736,http://sernecportal.org/portal/collections/individual/index.php?occid=7969996,-78.24411267,34.07473261
2,7969997,NCU,,,PreservedSpecimen,bbed0119-7909-45f3-85f0-97fc750b98db,NCU00163739,75259,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia grandiflora,17263,L.,Magnolia,grandiflora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,North Carolina,Brunswick,,,,,,,,,,,,,,,,,,,,,en,wpmarinello,11/25/15 9:57,,206,urn:uuid:bbed0119-7909-45f3-85f0-97fc750b98db,http://sernecportal.org/portal/collections/individual/index.php?occid=7969997,-78.24411267,34.07473261
3,7970000,NCU,,,PreservedSpecimen,54ac6c95-4929-4ce3-9d9e-229a7dd23bc1,NCU00163740,177271,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia grandiflora,17263,L.,Magnolia,grandiflora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,North Carolina,Brunswick,,,,,,,,,,,,,,,,,,,,,en,wpmarinello,11/25/15 9:57,,206,urn:uuid:54ac6c95-4929-4ce3-9d9e-229a7dd23bc1,http://sernecportal.org/portal/collections/individual/index.php?occid=7970000,-78.24411267,34.07473261
4,7970001,NCU,,,PreservedSpecimen,e94d64c3-69cf-4cfb-9adc-8067b2a43af4,NCU00028448,572659,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia grandiflora,17263,L.,Magnolia,grandiflora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,North Carolina,Brunswick,,,,,,,,,,,,,,,,,,,,,en,wpmarinello,11/25/15 9:57,,206,urn:uuid:e94d64c3-69cf-4cfb-9adc-8067b2a43af4,http://sernecportal.org/portal/collections/individual/index.php?occid=7970001,-78.24411267,34.07473261
5,7970004,NCU,,,PreservedSpecimen,dbaec95b-6679-4572-bc94-20a186131d4a,NCU00163741,58196,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia grandiflora,17263,L.,Magnolia,grandiflora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,North Carolina,Beaufort,,,,,,,,,,,,,,,,,,,,,en,wpmarinello,11/25/15 9:57,,206,urn:uuid:dbaec95b-6679-4572-bc94-20a186131d4a,http://sernecportal.org/portal/collections/individual/index.php?occid=7970004,-76.86307654,35.49474455
6,7970300,NCU,,,PreservedSpecimen,104a8ea9-1921-4ff7-b8d7-517e3307ffdf,NCU00163814,150770,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia tripetala,90977,(L.) L.,Magnolia,tripetala,,,"Tobe, John David",1992-11-00,,section: Rhytidospermum Spach; Clemson University (CLEMS),,,,"Radford, A. E.",,33370,5/17/58,1958,5,17,137,,,"Collected for the ""Flora of the Carolinas""",mixed deciduous forest,,,,,,,,fruiting,,,,,,,United States,North Carolina,Beaufort,,"on Chocowinity Creek, 5 miles se of Chocowinity",,0,,WGS84,5432,,"McCormick, Carol Ann",,GeoLocate,,= on Chocowinity Creek 5 mi SE of Chocowinity,,,,,,,,en,wpmarinello,11/30/15 10:31,,206,urn:uuid:104a8ea9-1921-4ff7-b8d7-517e3307ffdf,http://sernecportal.org/portal/collections/individual/index.php?occid=7970300,-76.86307654,35.49474455
7,7970006,NCU,,,PreservedSpecimen,92a174e6-6be8-422a-bae4-f6e728975e34,NCU00032051,574780,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia grandiflora,17263,L.,Magnolia,grandiflora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,North Carolina,Alamance,,,,,,,,,,,,,,,,,,,,,en,wpmarinello,11/25/15 9:57,,206,urn:uuid:92a174e6-6be8-422a-bae4-f6e728975e34,http://sernecportal.org/portal/collections/individual/index.php?occid=7970006,-79.39946026,36.04402745
8,16529523,NCU,,,PreservedSpecimen,0bd74e87-1101-49da-b7b0-2901447f9899,NCU00303116,644696,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia tripetala,90977,(L.) L.,Magnolia,tripetala,,,"Peifer, Mark; McCormick, Carol Ann",5/22/16,,,,,,"Peifer, Mark","McCormick, Carol Ann",s.n.,5/22/16,2016,5,22,143,,,,Several trees at dam on Rock Creek. Do not appear to be planted.,,,,,,,,sterile,,,,,,,United States,North Carolina,Alamance,,"Cedarock Park, an Alamance County park south of Burlington.",,,,WGS84,100,"35^ 59' 46"" N 79^ 26' 24"" W","McCormick, Carol Ann",,,,[lat/long on original label],,,,,,,,,CarolAnnMcCormick,10/24/17 16:24,,206,urn:uuid:0bd74e87-1101-49da-b7b0-2901447f9899,http://sernecportal.org/portal/collections/individual/index.php?occid=16529523,-79.39946026,36.04402745
9,16529526,NCU,,,PreservedSpecimen,185c59ed-8d3b-4187-ac19-973484abb6e0,NCU00303115,644695,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia tripetala,90977,(L.) L.,Magnolia,tripetala,,,"Peifer, Mark; McCormick, Carol Ann",5/22/16,,,,,,"Peifer, Mark","McCormick, Carol Ann",s.n.,5/22/16,2016,5,22,143,,,,Several trees at dam on Rock Creek. Do not appear to be planted.,,,,,,,,sterile,,,,,,,United States,North Carolina,Alamance,,"Cedarock Park, an Alamance County park south of Burlington.",,,,WGS84,100,"35^ 59' 46"" N 79^ 26' 24"" W","McCormick, Carol Ann",,,,[lat/long on original label],,,,,,,,,CarolAnnMcCormick,10/24/17 16:25,,206,urn:uuid:185c59ed-8d3b-4187-ac19-973484abb6e0,http://sernecportal.org/portal/collections/individual/index.php?occid=16529526,-79.39946026,36.04402745
