coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
7969995,https://bisque.cyverse.org/image_service/image/00-98rndjoNZKk3nRJUiSAuW8?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-98rndjoNZKk3nRJUiSAuW8?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-98rndjoNZKk3nRJUiSAuW8?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-98rndjoNZKk3nRJUiSAuW8?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:47df70f8-da2c-4d88-8490-3e04bceaf2c0,"2015-12-29 12:32:53",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7969995,StillImage,Photograph,en
7969996,https://bisque.cyverse.org/image_service/image/00-itgiQ4BvktwpE6AM89NyvY?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-itgiQ4BvktwpE6AM89NyvY?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-itgiQ4BvktwpE6AM89NyvY?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-itgiQ4BvktwpE6AM89NyvY?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:5808e2ce-8ec6-4bdc-85b9-b9d7db3c9037,"2015-12-29 12:32:52",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7969996,StillImage,Photograph,en
7969997,https://bisque.cyverse.org/image_service/image/00-9mFzwtehnm6MKZsooB5zjU?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-9mFzwtehnm6MKZsooB5zjU?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-9mFzwtehnm6MKZsooB5zjU?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-9mFzwtehnm6MKZsooB5zjU?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:341e614d-de72-49e2-b12c-e75e0dbc97c9,"2015-12-29 12:32:53",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7969997,StillImage,Photograph,en
7970000,https://bisque.cyverse.org/image_service/image/00-Gw3d5EopbEcYgU7LLx7FnD?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-Gw3d5EopbEcYgU7LLx7FnD?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-Gw3d5EopbEcYgU7LLx7FnD?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-Gw3d5EopbEcYgU7LLx7FnD?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:c6adfcff-b216-443e-8ff8-39d954b455e0,"2015-12-29 12:32:53",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7970000,StillImage,Photograph,en
7970001,https://bisque.cyverse.org/image_service/image/00-3AygyRBPvx6uQMPmk7gGHY?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-3AygyRBPvx6uQMPmk7gGHY?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-3AygyRBPvx6uQMPmk7gGHY?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-3AygyRBPvx6uQMPmk7gGHY?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:76bc28ac-f2c8-4c4a-8131-fba9ce7016f6,"2015-12-29 12:32:52",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7970001,StillImage,Photograph,en
7970004,https://bisque.cyverse.org/image_service/image/00-TCD3V6E9yar2wZocfi4bE9?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-TCD3V6E9yar2wZocfi4bE9?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-TCD3V6E9yar2wZocfi4bE9?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-TCD3V6E9yar2wZocfi4bE9?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:1d7501f7-5d77-4ace-9084-42f551e74e83,"2015-12-29 12:32:53",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7970004,StillImage,Photograph,en
7970006,https://bisque.cyverse.org/image_service/image/00-G8HU87VUH64pmatp82zth6?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-G8HU87VUH64pmatp82zth6?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-G8HU87VUH64pmatp82zth6?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-G8HU87VUH64pmatp82zth6?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:2818e36e-e2a7-4e9c-96f6-d8f62015b6f7,"2015-12-29 12:32:52",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7970006,StillImage,Photograph,en
7970120,https://bisque.cyverse.org/image_service/image/00-gGMJqFTEqSX6cYR6Dbe7nZ?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-gGMJqFTEqSX6cYR6Dbe7nZ?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-gGMJqFTEqSX6cYR6Dbe7nZ?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-gGMJqFTEqSX6cYR6Dbe7nZ?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:829e7d96-aa5f-4b4b-8656-c0b96c1e6e09,"2015-12-29 12:32:52",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7970120,StillImage,Photograph,en
7970122,https://bisque.cyverse.org/image_service/image/00-wE6RvQTB22gtoduZY3apLH?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-wE6RvQTB22gtoduZY3apLH?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-wE6RvQTB22gtoduZY3apLH?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-wE6RvQTB22gtoduZY3apLH?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:dcc2c1cf-b466-4efa-8a72-8657726ee5b4,"2015-12-29 12:32:53",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7970122,StillImage,Photograph,en
7970124,https://bisque.cyverse.org/image_service/image/00-KpkSdaW5wEmVDXPqrDh28h?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-KpkSdaW5wEmVDXPqrDh28h?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-KpkSdaW5wEmVDXPqrDh28h?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-KpkSdaW5wEmVDXPqrDh28h?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:3f473fbb-a247-4043-8223-f2beea083c06,"2015-12-29 12:32:52",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7970124,StillImage,Photograph,en
