,stateProvince,county,decimalLongitude,decimalLatitude,scientificName
0,North Carolina,Brunswick,-78.2441126653,34.074732606,Magnolia grandiflora
1,North Carolina,Brunswick,-78.2441126653,34.074732606,Magnolia grandiflora
2,North Carolina,Brunswick,-78.2441126653,34.074732606,Magnolia grandiflora
3,North Carolina,Brunswick,-78.2441126653,34.074732606,Magnolia grandiflora
4,North Carolina,Brunswick,-78.2441126653,34.074732606,Magnolia grandiflora
5,North Carolina,Beaufort,-76.8630765367,35.4947445481,Magnolia grandiflora
7,North Carolina,Alamance,-79.3994602559,36.0440274537,Magnolia grandiflora
10,North Carolina,Cumberland,-78.827325941,35.048540489699995,Magnolia grandiflora
11,North Carolina,Cumberland,-78.827325941,35.048540489699995,Magnolia grandiflora
14,North Carolina,Currituck,-75.9184454992,36.2197186965,Magnolia grandiflora
16,North Carolina,Chatham,-79.2553039153,35.7027547482,Magnolia grandiflora
19,North Carolina,Davidson,-80.2127413747,35.7931647809,Magnolia grandiflora
23,North Carolina,Durham,-78.8764224494,36.0359322993,Magnolia grandiflora
26,North Carolina,Nash,-77.9864526825,35.9672377682,Magnolia grandiflora
27,North Carolina,Moore,-79.4813365058,35.3106914207,Magnolia grandiflora
28,North Carolina,Harnett,-78.8692814093,35.3686998896,Magnolia grandiflora
30,North Carolina,Jones,-77.3555397196,35.0221507948,Magnolia grandiflora
34,North Carolina,Orange,-79.1205474262,36.061449845700004,Magnolia grandiflora
35,North Carolina,Orange,-79.1205474262,36.061449845700004,Magnolia grandiflora
36,North Carolina,Orange,-79.1205474262,36.061449845700004,Magnolia grandiflora
37,North Carolina,Orange,-79.1205474262,36.061449845700004,Magnolia grandiflora
38,North Carolina,Orange,-79.1205474262,36.061449845700004,Magnolia grandiflora
39,North Carolina,Orange,-79.1205474262,36.061449845700004,Magnolia grandiflora
40,North Carolina,Orange,-79.1205474262,36.061449845700004,Magnolia grandiflora
41,North Carolina,Orange,-79.1205474262,36.061449845700004,Magnolia grandiflora
42,North Carolina,Orange,-79.1205474262,36.061449845700004,Magnolia grandiflora
43,North Carolina,Orange,-79.1205474262,36.061449845700004,Magnolia grandiflora
44,North Carolina,Orange,-79.1205474262,36.061449845700004,Magnolia grandiflora
45,North Carolina,Orange,-79.1205474262,36.061449845700004,Magnolia grandiflora
46,North Carolina,Orange,-79.1205474262,36.061449845700004,Magnolia grandiflora
47,North Carolina,Orange,-79.1205474262,36.061449845700004,Magnolia grandiflora
48,North Carolina,Orange,-79.1205474262,36.061449845700004,Magnolia macrophylla
49,North Carolina,Orange,-79.1205474262,36.061449845700004,Magnolia fraseri
50,North Carolina,Orange,-79.1205474262,36.061449845700004,Magnolia fraseri
51,North Carolina,Orange,-79.1205474262,36.061449845700004,Magnolia macrophylla
52,North Carolina,Orange,-79.1205474262,36.061449845700004,Magnolia macrophylla
53,North Carolina,Orange,-79.1205474262,36.061449845700004,Magnolia macrophylla
54,North Carolina,Orange,-79.1205474262,36.061449845700004,Magnolia macrophylla
55,North Carolina,Orange,-79.1205474262,36.061449845700004,Magnolia macrophylla
56,North Carolina,Orange,-79.1205474262,36.061449845700004,Magnolia macrophylla
57,North Carolina,Orange,-79.1205474262,36.061449845700004,Magnolia macrophylla
80,North Carolina,Wake,-78.6503745237,35.7900895875,Magnolia grandiflora
81,North Carolina,Wake,-78.6503745237,35.7900895875,Magnolia macrophylla
87,North Carolina,Polk,-82.16963527840001,35.2792888112,Magnolia grandiflora
88,North Carolina,Polk,-82.16963527840001,35.2792888112,Magnolia fraseri
89,North Carolina,Polk,-82.16963527840001,35.2792888112,Magnolia fraseri
90,North Carolina,Stanly,-80.2506748658,35.3120147531,Magnolia grandiflora
93,North Carolina,Gaston,-81.1801429973,35.2944651826,Magnolia grandiflora
94,North Carolina,Gaston,-81.1801429973,35.2944651826,Magnolia macrophylla
95,North Carolina,Gaston,-81.1801429973,35.2944651826,Magnolia macrophylla
96,North Carolina,Gaston,-81.1801429973,35.2944651826,Magnolia macrophylla
97,North Carolina,Gaston,-81.1801429973,35.2944651826,Magnolia macrophylla
98,North Carolina,Gaston,-81.1801429973,35.2944651826,Magnolia macrophylla
99,North Carolina,Gaston,-81.1801429973,35.2944651826,Magnolia macrophylla
101,North Carolina,Carteret,-76.6706765886,34.8327127971,Magnolia grandiflora
102,South Carolina,Beaufort,-80.7371522352,32.3872569754,Magnolia grandiflora
103,South Carolina,Beaufort,-80.7371522352,32.3872569754,Magnolia grandiflora
104,South Carolina,Berkeley,-79.950758155,33.1978447094,Magnolia grandiflora
105,South Carolina,Charleston,-79.9439199601,32.8410605937,Magnolia grandiflora
106,South Carolina,Colleton,-80.66802566060001,32.8654745425,Magnolia grandiflora
107,South Carolina,Colleton,-80.66802566060001,32.8654745425,Magnolia grandiflora
108,South Carolina,Colleton,-80.66802566060001,32.8654745425,Magnolia grandiflora
109,South Carolina,Dorchester,-80.40524064270001,33.0794734364,Magnolia grandiflora
110,South Carolina,Dorchester,-80.40524064270001,33.0794734364,Magnolia grandiflora
111,South Carolina,Dorchester,-80.40524064270001,33.0794734364,Magnolia macrophylla
112,South Carolina,Dorchester,-80.40524064270001,33.0794734364,Magnolia macrophylla
113,South Carolina,Dorchester,-80.40524064270001,33.0794734364,Magnolia macrophylla
114,South Carolina,Dorchester,-80.40524064270001,33.0794734364,Magnolia macrophylla
115,South Carolina,Dorchester,-80.40524064270001,33.0794734364,Magnolia macrophylla
116,South Carolina,Dorchester,-80.40524064270001,33.0794734364,Magnolia macrophylla
118,South Carolina,Florence,-79.70282897439999,34.0244547541,Magnolia grandiflora
119,South Carolina,Georgetown,-79.3367281335,33.4408362032,Magnolia grandiflora
120,South Carolina,Horry,-78.9966262234,33.921536103200005,Magnolia grandiflora
121,South Carolina,Horry,-78.9966262234,33.921536103200005,Magnolia grandiflora
122,South Carolina,Horry,-78.9966262234,33.921536103200005,Magnolia grandiflora
123,South Carolina,Jasper,-80.854481417,32.4043961826,Magnolia grandiflora
124,South Carolina,Orangeburg,-80.8003349384,33.439005866,Magnolia grandiflora
125,South Carolina,Richland,-80.9030609858,34.0218101354,Magnolia grandiflora
126,South Carolina,Richland,-80.9030609858,34.0218101354,Magnolia grandiflora
127,South Carolina,Richland,-80.9030609858,34.0218101354,Magnolia grandiflora
128,South Carolina,Richland,-80.9030609858,34.0218101354,Magnolia grandiflora
129,Alabama,Baldwin,-87.7171324525,30.727828025999997,Magnolia grandiflora
130,Alabama,Baldwin,-87.7171324525,30.727828025999997,Magnolia fraseri
131,Alabama,Barbour,-85.393233463,31.869591086,Magnolia grandiflora
132,Alabama,Bullock,-85.7160892256,32.1004870319,Magnolia grandiflora
133,Alabama,Butler,-86.6802828494,31.752434676500002,Magnolia grandiflora
134,Alabama,Butler,-86.6802828494,31.752434676500002,Magnolia macrophylla
135,Alabama,Butler,-86.6802828494,31.752434676500002,Magnolia fraseri
136,Alabama,Choctaw,-88.26283596729999,32.0192408281,Magnolia grandiflora
137,Alabama,Choctaw,-88.26283596729999,32.0192408281,Magnolia macrophylla
138,Alabama,Choctaw,-88.26283596729999,32.0192408281,Magnolia macrophylla
139,Alabama,Clarke,-87.8309335174,31.6708788696,Magnolia grandiflora
140,Alabama,Clarke,-87.8309335174,31.6708788696,Magnolia macrophylla
141,Alabama,Coffee,-85.9881918794,31.4026448434,Magnolia grandiflora
142,Alabama,Coffee,-85.9881918794,31.4026448434,Magnolia fraseri
143,Alabama,Conecuh,-86.9936242347,31.4292971636,Magnolia grandiflora
144,Alabama,Conecuh,-86.9936242347,31.4292971636,Magnolia fraseri
145,Alabama,Covington,-86.45121317739999,31.248483346300002,Magnolia grandiflora
146,Alabama,Crenshaw,-86.31355370920001,31.731515404299998,Magnolia grandiflora
147,Alabama,Dale,-85.611008823,31.4318335628,Magnolia grandiflora
148,Alabama,Escambia,-87.1615638393,31.1261646479,Magnolia grandiflora
